0,0,0,1
0,0,0,1
-0.001,0.001,-0.001,1
0,0.004,0.017,1
0,-0.012,-0.004,1
-0.002,-0.005,-0.025,1
-0.004,-0.003,-0.028,1
-0.003,-0.002,-0.049,1
-0.004,-0.001,-0.052,1
-0.005,0,-0.031,1.001
0.015,-0.003,-0.017,1.001
-0.007,0.003,-0.019,1.002
-0.007,0.003,-0.041,1.001
-0.004,0.01,-0.044,1.001
-0.002,0.033,-0.044,1.001
-0.002,0.039,-0.044,1.001
-0.025,0.044,-0.065,0.999
-0.005,0.039,-0.065,1
-0.005,0.04,-0.047,1.001
-0.002,0.038,-0.068,1
-0.003,0.034,-0.089,0.999
-0.023,0.038,-0.09,0.999
-0.004,0.051,-0.111,0.997
0.006,0.139,-0.093,0.994
0.012,0.247,-0.113,0.977
0.049,0.392,-0.114,0.94
0.075,0.538,-0.086,0.881
0.069,0.573,-0.1,0.859
0.084,0.67,-0.098,0.793
0.086,0.735,-0.113,0.736
0.104,0.8,-0.11,0.67
0.112,0.842,-0.106,0.619
0.128,0.867,-0.091,0.584
0.138,0.844,-0.098,0.616
0.115,0.822,-0.117,0.649
0.104,0.775,-0.13,0.707
0.071,0.695,-0.154,0.795
0.073,0.616,-0.174,0.86
0.039,0.489,-0.171,0.955
-0.001,0.391,-0.167,1.007
-0.041,0.279,-0.163,1.052
-0.055,0.189,-0.16,1.075
-0.095,0.056,-0.154,1.097
-0.116,-0.087,-0.142,1.105
-0.107,-0.108,-0.137,1.104
-0.1,-0.108,-0.145,1.104
-0.113,-0.053,-0.152,1.107
-0.098,0.024,-0.159,1.112
-0.081,0.115,-0.167,1.11
-0.058,0.219,-0.176,1.1
-0.038,0.331,-0.182,1.077
-0.043,0.458,-0.196,1.036
-0.009,0.554,-0.174,0.999
0.029,0.652,-0.207,0.939
0.038,0.734,-0.22,0.879
0.056,0.769,-0.219,0.849
0.102,0.845,-0.236,0.773
0.114,0.864,-0.228,0.754
0.077,0.791,-0.217,0.846
0.059,0.743,-0.2,0.897
0.043,0.679,-0.198,0.951
0.065,0.854,-0.142,0.837
0.061,0.727,-0.172,0.962
0.039,0.587,-0.151,1.073
0.024,0.49,-0.141,1.128
0.002,0.331,-0.148,1.197
-0.017,0.177,-0.152,1.239
-0.016,0.158,-0.175,1.239
-0.041,0.148,-0.174,1.24
-0.035,0.129,-0.152,1.245
-0.01,0.116,-0.156,1.247
